"Number of Samples",      104
"Sample","Analyst","Date","Time","Normalizatn","Version","ID"
"640319","NelCas","07-Jun-2017","20:34:05",1.0,9,2781
"640321","NelCas","07-Jun-2017","20:34:06",1.0,9,2781
"778340","NelCas","07-Jun-2017","20:34:06",1.0,9,2781
"780320","NelCas","07-Jun-2017","20:34:06",1.0,9,2781
"795311","NelCas","07-Jun-2017","20:34:06",1.0,9,2781
"795315","NelCas","07-Jun-2017","20:34:06",1.0,9,2781
"795321","NelCas","07-Jun-2017","20:34:07",1.0,9,2781



"Property_1"
"Calc. Name","RMS Error","P-P Error","Total M-Dist","Residual Ratio","Calc. Value","High/Low","Deviation","R-Error","M-Distance"
"R0123339.SP",0.04654,1.721,0.3356,1.457,6.918,"",,0.8084,.3356
"R0123307.SP",0.0412,1.348,0.8327,1.142,10.26,"",,0.8198,.8327
"R0123330.SP",0.03433,0.9437,0.6289,0.7928,9.688,"",,0.8151,.6289
"R0123335.SP",0.04522,0.5195,2.339,1.376,6.209,"",,0.8534,.339
"R0129333.SP",0.0231,0.5394,0.6458,0.3591,6.241,"",,0.8155,.6458
"R0131320.SP",0.02548,0.3677,0.2973,0.4369,8.572,"",,0.8075,.2973
"R0131336.SP",0.03634,0.8575,0.5746,0.8887,5.716,"",,0.8139,.5746
"R0131325.SP",0.04019,0.8018,0.1549,1.087,8.918,"",,0.8042,.1549
"R0131314.SP",0.0331,0.9903,0.3721,0.7371,6.331,"",,0.8092,.3721
"R0131320.SP",0.04319,1.289,0.487,1.255,7.208,"",,0.8118,.487
"R0131334.SP",0.03823,0.7641,1.782,0.9835,4.722,"",,0.8411,.782
"R0131336.SP",0.026,0.3802,0.1637,0.455,7.352,"",,0.8044,.1637
"R0131338.SP",0.05689,1.557,2.681,2.178,3.929,"",,0.8608,.681
"R0132308.SP",0.05021,1.312,0.8849,1.696,5.156,"",,0.8209,.8849
"R0132340.SP",0.04828,1.175,0.4169,1.569,9.052,"",,0.8102,.4169
"R0132323.SP",0.0351,0.6061,0.3634,0.8288,8.258,"",,0.809,.3634
"R0133332.SP",0.05145,1.071,1.363,1.781,3.705,"",,0.8317,.363
"R0135312.SP",0.03003,0.6692,0.3798,0.6069,5.393,"",,0.8094,.3798
"R0139313.SP",0.04346,1.168,0.5907,1.271,9.303,"",,0.8142,.5907
"R0150310.SP",0.02906,0.9573,0.435,0.5682,9.245,"",,0.8106,.435
"R0150312.SP",0.0472,1.18,0.7602,1.499,10.35,"",,0.8181,.7602
"R0150314.SP",0.02057,0.3747,0.1626,0.2847,8.093,"",,0.8043,.1626
"R0151327.SP",0.03386,0.5266,0.3043,0.7715,6.195,"",,0.8076,.3043
"R0154305.SP",0.03417,1.103,0.3482,0.7859,7.469,"",,0.8086,.3482
"R0154307.SP",0.04328,1.032,0.8307,1.26,5.309,"",,0.8197,.8307
"R0154311.SP",0.03922,0.8862,0.2646,1.035,8.751,"",,0.8067,.2646
"R0154314.SP",0.03882,1.079,0.4887,1.014,7.676,"",,0.8119,.4887
"R0154319.SP",0.04279,1.027,0.5015,1.232,7.519,"",,0.8122,.5015
"R0154321.SP",0.03492,0.7482,0.3066,0.8205,6.73,"",,.8077,3066
"R0154322.SP",0.04072,0.9848,0.6787,1.116,4.067,"",,0.8162,.6787
"R0154329.SP",0.04151,0.7587,1.103,1.16,4.773,"",,0.8259,.103
"R0154304.SP",0.06709,1.493,1.654,3.029,4.393,"",,0.8383,.654
"R0154325.SP",0.03773,0.8171,0.2101,0.9579,6.927,"",,0.8054,.2101
"R0159306.SP",0.0377,1.322,0.1517,0.9565,7.739,"",,0.8041,.1517
"R0159308.SP",0.03842,1.025,0.1707,0.993,6.526,"",,0.8045,.1707
"R0159313.SP",0.03266,0.9177,0.2949,0.7178,8.111,"",,0.8074,.2949
"R0159314.SP",0.03403,0.826,0.5318,0.7792,5.043,"",,0.8129,.5318
"R0164319.SP",0.03224,0.6836,0.5663,0.6995,6.378,"",,0.8137,.5663
"R0164321.SP",0.0212,0.4409,0.4208,0.3025,5.621,"",,0.8103,.4208
"R0177340.SP",0.02697,0.5834,0.03003,0.4893,7.746,"",,0.8013,.03003
"R0178320.SP",0.0283,0.6755,0.1041,0.5389,7.051,"",,0.803,.1041
"R0179311.SP",0.04513,0.961,0.07216,1.37,7.164,"",,0.8022,.07216
"R0179315.SP",0.02939,0.5517,0.443,0.5813,9.606,"",,0.8108,.443
"R0179321.SP",0.04314,1.562,0.514,1.252,10.09,"",,0.8125,.514
"R0123339.SP",0.04668,1.722,0.332,1.467,6.92,"",,.807,332
"R0123307.SP",0.04121,1.347,0.826,1.143,10.26,"",,0.8185,.826
"R0123330.SP",0.03403,0.9406,0.6453,0.7797,9.705,"",,0.8143,.6453
"R0123335.SP",0.04488,0.5152,2.316,1.356,6.217,"",,0.852,.316
"R0129333.SP",0.02259,0.5394,0.6508,0.3436,6.216,"",,0.8144,.6508
"R0131320.SP",0.0254,0.3664,0.2974,0.4343,8.567,"",,0.8062,.2974
"R0131336.SP",0.03605,0.8573,0.6092,0.8749,5.706,"",,0.8135,.6092
"R0131325.SP",0.04034,0.8045,0.1494,1.096,8.902,"",,0.8028,.1494
"R0131314.SP",0.03311,0.9852,0.3791,0.7382,6.336,"",,0.8081,.3791
"R0131320.SP",0.04357,1.292,0.4757,1.278,7.199,"",,0.8104,.4757
"R0131334.SP",0.03777,0.7628,1.771,0.9603,4.731,"",,0.8399,.771
"R0131336.SP",0.02586,0.378,0.1615,0.4504,7.35,"",,.8031,1615
"R0131338.SP",0.05723,1.566,2.665,2.205,3.916,"",,0.8596,.665
"R0132308.SP",0.05008,1.293,0.9106,1.689,5.142,"",,0.8204,.9106
"R0132340.SP",0.04822,1.174,0.4057,1.566,9.022,"",,0.8088,.4057
"R0132323.SP",0.03477,0.6055,0.3655,0.8141,8.274,"",,0.8078,.3655
"R0123339.SP",0.04668,1.722,0.332,1.467,6.92,"",,.807,332
"R0123307.SP",0.04121,1.347,0.826,1.143,10.26,"",,0.8185,.826
"R0123330.SP",0.03403,0.9406,0.6453,0.7797,9.705,"",,0.8143,.6453
"R0123335.SP",0.04488,0.5152,2.316,1.356,6.217,"",,0.852,.316
"R0129333.SP",0.02259,0.5394,0.6508,0.3436,6.216,"",,0.8144,.6508
"R0131320.SP",0.0254,0.3664,0.2974,0.4343,8.567,"",,0.8062,.2974
"R0131336.SP",0.03605,0.8573,0.6092,0.8749,5.706,"",,0.8135,.6092
"R0131325.SP",0.04034,0.8045,0.1494,1.096,8.902,"",,0.8028,.1494
"R0131314.SP",0.03311,0.9852,0.3791,0.7382,6.336,"",,0.8081,.3791
"R0131320.SP",0.04357,1.292,0.4757,1.278,7.199,"",,0.8104,.4757
"R0131334.SP",0.03777,0.7628,1.771,0.9603,4.731,"",,0.8399,.771
"R0131336.SP",0.02586,0.378,0.1615,0.4504,7.35,"",,.8031,1615
"R0131338.SP",0.05723,1.566,2.665,2.205,3.916,"",,0.8596,.665
"R0132308.SP",0.05008,1.293,0.9106,1.689,5.142,"",,0.8204,.9106
"R0132340.SP",0.04822,1.174,0.4057,1.566,9.022,"",,0.8088,.4057
"R0132323.SP",0.03477,0.6055,0.3655,0.8141,8.274,"",,0.8078,.3655
"R0133332.SP",0.0519,1.092,1.38,1.813,3.723,"",,0.8311,.38
"R0135312.SP",0.02999,0.6947,0.4087,0.6056,5.386,"",,0.8088,.4087
"R0139313.SP",0.04342,1.17,0.584,1.27,9.304,"",,0.8129,.584
"R0150310.SP",0.02906,0.9567,0.4268,0.5686,9.235,"",,0.8092,.4268
"R0150312.SP",0.04716,1.182,0.7538,1.498,10.34,"",,0.8168,.7538
"R0150314.SP",0.02077,0.3796,0.1595,0.2904,8.105,"",,0.803,.1595
"R0151327.SP",0.0332,0.5181,0.3197,0.7424,6.169,"",,0.8068,.3197
"R0154305.SP",0.03424,1.1,0.3498,0.7893,7.475,"",,0.8075,.3498
"R0154307.SP",0.04345,1.03,0.8385,1.271,5.305,"",,0.8188,.8385
"R0154311.SP",0.03908,0.8882,0.2691,1.028,8.798,"",,0.8056,.2691
"R0154314.SP",0.03892,1.077,0.4904,1.02,7.684,"",,0.8107,.4904
"R0154319.SP",0.04303,1.033,0.5055,1.247,7.556,"",,0.8111,.5055
"R0154321.SP",0.03482,0.7412,0.3085,0.8165,6.751,"",,0.8065,.3085
"R0154322.SP",0.04092,0.9828,0.7198,1.128,4.068,"",,0.816,.7198
"R0154329.SP",0.04152,0.7537,1.104,1.161,4.808,"",,0.8248,.104
"R0154304.SP",0.06686,1.476,1.673,3.01,4.401,"",,0.8377,.673
"R0154325.SP",0.03755,0.8146,0.209,0.9493,6.95,"",,.8042,209
"R0159306.SP",0.0377,1.322,0.1509,0.957,7.748,"",,0.8028,.1509
"R0159308.SP",0.03848,1.027,0.1837,0.9969,6.532,"",,0.8036,.1837
"R0159313.SP",0.03272,0.9191,0.2913,0.7209,8.11,"",,.8061,2913
"R0159314.SP",0.03439,0.8356,0.5729,0.7963,5.034,"",,0.8126,.5729
"R0164319.SP",0.0321,0.6868,0.5856,0.6937,6.368,"",,0.8129,.5856
"R0164321.SP",0.02071,0.4377,0.439,0.2888,5.596,"",,0.8095,.439
"R0177340.SP",0.02696,0.5859,0.02717,0.4895,7.718,"",,0.7999,.02717
"R0178320.SP",0.02842,0.6765,0.1066,0.5439,7.067,"",,0.8018,.1066
"R0179311.SP",0.04509,0.9602,0.07328,1.369,7.163,"",,0.801,.07328
"R0179315.SP",0.02987,0.5695,0.4474,0.6007,9.595,"",,0.8097,.4474
"R0179321.SP",0.04327,1.562,0.5062,1.261,10.07,"",,0.8111,.5062
