795311	8.01
795315	9.99
795321	9.89
317320	7.99
317336	6
318325	5.81
319314	6.9
319320	6.19
319334	5.74
319336	7.59
319338	3.65
320308	4.85
320340	9.66
323323	8.68
337332	7.68
590306	8.16
590308	7.34
590313	8.17
590314	5.8
230339	7.49
231307	9.95
231330	10.28
231335	6.71
390313	9.78
509310	10.15
509312	10.35
509314	9.57
511327	5.45
640319	5.75
640321	5.47
298333	6.08
356312	5.86
545305	7.46
545307	5.59
545311	10.58
545314	7.79
545319	7.24
545321	7.16
545322	4.79
545329	5.03
548304	6.32
548325	7.06
778340	7.95
780320	6.53
